Fare,Pclass,AgeGroup,Sex_female,Sex_male,Embarked_C,FamilyCategory_Small,Survived
30.0,1,4.0,0,1,0,0,1
42.4,1,4.0,0,1,0,0,0
24.15,3,4.0,0,1,0,1,0
7.775,3,3.0,0,1,0,0,0
7.3125,3,4.0,0,1,0,0,0
7.8958,3,4.0,0,1,0,0,0
23.0,2,1.0,1,0,0,1,1
13.0,2,4.0,0,1,0,0,1
7.1417,3,4.0,0,1,0,0,1
12.35,2,4.0,1,0,0,0,1
15.2458,3,4.0,1,0,1,1,1
9.5,3,4.0,0,1,0,0,0
164.8667,1,0.0,1,0,0,1,1
13.0,2,0.0,1,0,0,0,1
7.925,3,4.0,0,1,0,0,0
512.3292,1,0.0,0,1,1,0,1
69.55,3,4.0,1,0,0,0,0
23.25,3,4.0,0,1,0,1,1
512.3292,1,0.0,0,1,1,1,1
39.6875,3,0.0,1,0,0,0,0
7.55,3,4.0,1,0,0,0,1
14.4,3,0.0,0,1,0,1,0
33.0,2,4.0,1,0,0,0,1
24.15,3,4.0,0,1,0,0,0
7.225,3,3.0,1,0,1,0,1
8.05,3,4.0,0,1,0,0,0
7.775,3,3.0,1,0,0,0,0
8.05,3,4.0,0,1,0,0,0
73.5,2,0.0,0,1,0,1,0
29.125,3,1.0,0,1,0,0,0
29.125,3,1.0,0,1,0,0,0
8.05,3,4.0,0,1,0,0,0
21.6792,3,4.0,0,1,1,1,0
25.9292,1,2.0,1,0,0,0,1
7.75,3,0.0,0,1,0,0,0
34.0208,1,2.0,0,1,0,0,0
16.1,3,4.0,1,0,0,1,0
46.9,3,1.0,0,1,0,0,0
8.05,3,4.0,0,1,0,0,1
8.05,3,4.0,0,1,0,0,0
9.35,3,4.0,0,1,0,0,0
7.225,3,4.0,0,1,1,0,0
33.0,2,4.0,0,1,0,1,0
18.75,2,4.0,1,0,0,0,1
8.6625,3,3.0,0,1,0,0,0
15.5,3,4.0,0,1,0,1,0
25.4667,3,4.0,1,0,0,0,0
8.05,3,4.0,0,1,0,0,0
26.55,1,2.0,0,1,0,0,1
21.075,3,1.0,1,0,0,0,0
19.2583,3,1.0,1,0,1,0,1
7.2292,3,4.0,0,1,1,0,0
8.05,3,0.0,0,1,0,0,0
23.0,2,3.0,1,0,0,1,1
27.7208,1,0.0,1,0,1,0,1
14.5,3,4.0,0,1,0,0,0
9.5,3,4.0,0,1,0,0,0
9.5875,3,0.0,1,0,0,0,0
11.5,2,4.0,0,1,0,1,0
78.85,1,0.0,0,1,0,1,0
7.925,3,0.0,0,1,0,0,1
23.45,3,4.0,1,0,0,0,0
7.775,3,4.0,0,1,0,0,0
30.0,1,4.0,0,1,0,0,1
8.05,3,2.0,0,1,0,0,0
39.0,2,2.0,0,1,0,1,0
7.7333,3,4.0,0,1,0,0,0
7.775,3,3.0,0,1,0,0,0
14.4542,3,3.0,1,0,1,1,0
10.5,2,4.0,0,1,0,0,1
39.0,2,1.0,1,0,0,0,1
8.6542,3,0.0,0,1,0,0,0
7.7333,3,4.0,0,1,0,0,0
24.15,3,1.0,1,0,0,1,0
15.0,2,2.0,0,1,0,0,0
31.275,3,1.0,1,0,0,0,0
26.0,2,4.0,1,0,0,1,1
66.6,1,4.0,1,0,0,1,1
15.85,3,4.0,0,1,0,1,0
29.7,1,4.0,0,1,1,0,1
18.7875,3,4.0,0,1,1,0,1
9.5,3,0.0,0,1,0,0,0
10.5,2,4.0,1,0,0,0,1
11.1333,3,4.0,1,0,0,1,1
13.0,2,0.0,0,1,0,0,0
7.2292,3,4.0,0,1,1,0,1
27.75,1,4.0,0,1,1,0,0
16.1,3,4.0,0,1,0,1,0
12.35,2,4.0,1,0,0,0,1
7.775,3,4.0,0,1,0,0,0
51.4792,1,2.0,1,0,0,1,1
7.925,3,0.0,0,1,0,0,0
13.0,2,2.0,0,1,0,0,0
79.65,1,2.0,0,1,0,1,0
31.275,3,0.0,1,0,0,0,0
151.55,1,1.0,1,0,0,0,0
7.925,3,0.0,0,1,0,0,1
12.525,2,2.0,0,1,0,0,0
26.0,2,0.0,0,1,0,0,0
79.2,1,2.0,0,1,1,0,0
110.8833,1,3.0,0,1,1,1,1
8.05,3,4.0,0,1,0,0,0
34.375,3,1.0,1,0,0,0,0
7.7958,3,4.0,0,1,0,0,1
8.6625,3,4.0,0,1,0,0,0
56.4958,3,4.0,0,1,0,0,0
7.8958,3,4.0,0,1,0,0,0
15.9,3,1.0,0,1,0,1,1
13.0,2,2.0,0,1,0,0,0
135.6333,1,0.0,1,0,1,0,1
15.5,3,4.0,1,0,0,1,1
13.0,2,0.0,1,0,0,0,1
86.5,1,0.0,1,0,0,0,1
41.5792,2,4.0,1,0,1,0,1
6.75,3,4.0,0,1,0,0,0
7.775,3,4.0,0,1,0,0,0
8.4042,3,0.0,0,1,0,1,0
153.4625,1,0.0,1,0,0,0,1
20.25,3,0.0,1,0,0,1,1
8.85,3,4.0,1,0,0,0,0
7.925,3,0.0,0,1,0,0,1
30.0708,2,0.0,0,1,1,1,0
39.0,2,1.0,0,1,0,0,1
6.4958,3,0.0,0,1,0,0,0
263.0,1,4.0,0,1,0,0,0
7.775,3,4.0,1,0,0,0,0
8.05,3,4.0,1,0,0,0,0
20.575,3,1.0,0,1,0,0,1
6.975,3,0.0,0,1,0,0,0
26.25,2,0.0,0,1,0,1,0
9.825,3,4.0,1,0,0,1,0
7.8958,3,4.0,0,1,0,0,0
211.3375,1,3.0,1,0,0,1,1
7.8875,3,4.0,0,1,0,0,0
10.5,2,4.0,0,1,0,0,0
69.3,1,4.0,1,0,1,0,1
10.5,2,0.0,0,1,0,0,0
10.5,2,4.0,0,1,0,0,0
0.0,1,4.0,0,1,0,0,0
16.1,3,4.0,0,1,0,0,0
9.35,3,3.0,1,0,0,1,1
8.1375,3,4.0,1,0,0,0,0
46.9,3,1.0,0,1,0,0,0
69.55,3,4.0,1,0,0,0,0
56.4958,3,4.0,0,1,0,0,1
7.775,3,4.0,0,1,0,1,1
0.0,2,4.0,0,1,0,0,0
9.5,3,4.0,0,1,0,0,0
78.2667,1,2.0,1,0,1,1,1
8.05,3,4.0,0,1,0,0,0
13.5,2,2.0,0,1,0,0,0
23.0,2,2.0,1,0,0,0,1
30.5,1,4.0,0,1,0,0,1
52.0,1,0.0,0,1,0,1,0
135.6333,1,4.0,0,1,1,0,0
5.0,1,0.0,0,1,0,0,0
12.475,3,1.0,0,1,0,1,1
31.3875,3,1.0,1,0,0,0,1
0.0,1,0.0,0,1,0,0,0
8.05,3,4.0,0,1,0,0,0
14.0,2,2.0,0,1,0,0,0
7.55,3,4.0,0,1,0,0,0
7.8958,3,4.0,0,1,0,0,0
7.2292,3,4.0,0,1,1,0,0
7.8792,3,4.0,1,0,0,0,1
512.3292,1,0.0,1,0,1,0,1
77.9583,1,4.0,1,0,0,0,1
30.5,1,0.0,0,1,1,0,1
9.5,3,3.0,0,1,0,0,0
7.25,3,4.0,1,0,0,0,1
7.8958,3,4.0,0,1,0,0,0
90.0,1,0.0,0,1,0,1,1
69.55,3,4.0,0,1,0,0,0
26.0,2,4.0,0,1,0,1,0
27.75,2,0.0,1,0,0,0,1
16.1,3,4.0,1,0,0,1,1
108.9,1,3.0,0,1,1,1,0
16.1,3,4.0,0,1,0,1,0
7.8958,3,4.0,0,1,0,0,0
39.6875,3,1.0,0,1,0,0,0
8.5167,3,1.0,0,1,1,1,1
10.5,2,4.0,0,1,0,0,0
7.125,3,0.0,0,1,0,0,0
76.7292,1,2.0,0,1,1,1,1
65.0,2,2.0,1,0,0,0,1
39.6,1,2.0,1,0,1,1,1
31.275,3,1.0,0,1,0,0,0
55.9,1,0.0,1,0,0,1,1
15.85,3,0.0,1,0,0,0,1
10.5,2,4.0,0,1,0,0,0
110.8833,1,2.0,0,1,1,1,0
69.55,3,4.0,0,1,0,0,0
7.2292,3,4.0,0,1,1,0,0
52.0,1,0.0,0,1,0,1,0
71.0,1,0.0,1,0,0,1,1
33.5,1,2.0,0,1,0,0,0
6.75,3,3.0,1,0,0,0,0
7.4958,3,3.0,1,0,0,0,1
14.5,2,1.0,0,1,0,1,1
56.4958,3,0.0,0,1,0,0,1
8.05,3,4.0,0,1,0,0,0
8.05,3,4.0,0,1,0,0,0
14.4542,3,4.0,1,0,1,1,0
8.05,3,3.0,0,1,0,0,0
57.0,1,0.0,0,1,0,1,1
26.55,1,2.0,0,1,0,0,1
7.225,3,4.0,0,1,1,0,1
7.2292,3,3.0,1,0,1,0,1
15.85,3,0.0,0,1,0,1,0
7.925,3,4.0,0,1,0,1,0
26.0,2,2.0,0,1,0,0,0
7.7958,3,4.0,0,1,0,0,0
27.0,2,0.0,0,1,0,1,0
8.05,3,0.0,0,1,0,0,0
27.9,3,1.0,1,0,0,0,0
8.6833,3,0.0,1,0,0,0,1
15.5,3,4.0,1,0,0,1,1
7.8958,3,4.0,0,1,0,0,0
26.0,2,4.0,1,0,0,1,1
8.6625,3,4.0,0,1,0,0,0
46.9,3,3.0,0,1,0,0,0
23.0,2,0.0,1,0,0,1,1
7.7375,3,4.0,1,0,0,0,1
7.75,3,4.0,1,0,0,0,1
7.75,3,2.0,0,1,0,0,0
7.6292,3,4.0,1,0,0,0,0
7.75,3,4.0,1,0,0,0,1
7.75,3,4.0,1,0,0,0,1
9.5,3,4.0,0,1,0,0,0
13.0,2,4.0,0,1,0,0,0
263.0,1,4.0,0,1,0,0,0
7.8958,3,0.0,0,1,1,0,0
83.475,1,0.0,1,0,0,1,1
15.9,3,1.0,0,1,0,1,1
4.0125,3,4.0,0,1,1,0,0
13.0,2,0.0,0,1,0,0,1
13.0,2,4.0,0,1,0,0,0
0.0,2,4.0,0,1,0,0,0
7.7958,3,4.0,0,1,0,0,1
7.25,3,2.0,0,1,0,0,0
151.55,1,4.0,1,0,0,0,0
9.2167,3,3.0,0,1,0,0,0
83.475,1,0.0,0,1,0,1,0
8.6625,3,0.0,0,1,0,0,0
35.5,1,2.0,0,1,1,0,1
22.3583,3,4.0,1,0,1,1,1
50.4958,1,0.0,0,1,0,0,0
93.5,1,4.0,1,0,0,0,1
27.7208,1,4.0,0,1,1,0,0
7.8542,3,3.0,1,0,0,0,0
7.7333,3,3.0,1,0,0,0,1
9.475,3,0.0,1,0,0,1,0
30.5,1,2.0,0,1,0,0,0
7.775,3,4.0,0,1,0,0,0
26.55,1,0.0,0,1,0,0,1
120.0,1,0.0,1,0,0,0,1
7.925,3,4.0,1,0,0,0,1
76.7292,1,2.0,1,0,1,1,1
134.5,1,0.0,1,0,1,0,1
53.1,1,4.0,0,1,0,1,0
7.775,3,0.0,0,1,0,0,0
53.1,1,4.0,0,1,0,1,1
27.7208,1,4.0,0,1,1,0,0
26.2875,1,0.0,0,1,0,0,1
10.4625,3,4.0,1,0,0,1,0
21.0,2,4.0,1,0,0,0,1
8.05,3,0.0,0,1,0,0,0
7.8958,3,4.0,0,1,1,0,1
30.0,1,4.0,1,0,0,0,1
135.6333,1,0.0,1,0,0,0,1
69.55,3,4.0,0,1,0,0,0
15.75,2,0.0,1,0,0,0,1
26.55,1,2.0,0,1,0,0,0
7.925,3,4.0,1,0,0,1,0
8.05,3,4.0,0,1,0,0,0
14.4542,3,3.0,1,0,1,1,0
21.0,2,0.0,0,1,0,1,0
7.8542,3,2.0,0,1,0,0,0
7.8958,3,4.0,0,1,0,0,0
24.15,3,4.0,0,1,0,1,0
12.0,2,3.0,1,0,1,0,1
71.2833,1,0.0,1,0,1,1,1
7.2292,3,4.0,0,1,1,0,0
7.8958,3,0.0,0,1,0,0,0
9.0,3,4.0,0,1,0,0,0
10.4625,3,1.0,1,0,0,1,0
82.1708,1,4.0,0,1,1,1,0
7.75,3,3.0,0,1,0,0,0
22.525,3,4.0,0,1,0,0,0
26.0,2,4.0,1,0,0,0,1
8.05,3,4.0,0,1,0,0,0
75.25,1,2.0,1,0,1,1,1
7.8542,3,4.0,0,1,0,0,0
35.5,1,0.0,0,1,0,0,0
8.05,3,4.0,1,0,0,0,0
13.0,2,4.0,1,0,0,0,1
7.75,3,4.0,0,1,0,0,0
15.5,3,4.0,1,0,0,1,1
31.275,3,0.0,0,1,0,0,0
7.8542,3,4.0,1,0,0,0,1
27.0,2,4.0,1,0,0,0,1
13.0,2,0.0,1,0,0,0,1
29.7,1,0.0,0,1,1,1,0
55.0,1,4.0,1,0,0,1,1
10.5,2,4.0,0,1,0,0,0
7.8958,3,4.0,0,1,0,0,0
6.45,3,0.0,0,1,0,0,0
91.0792,1,4.0,0,1,1,1,1
9.0,3,2.0,0,1,0,0,0
86.5,1,3.0,1,0,0,0,1
18.75,2,1.0,0,1,0,1,1
7.125,3,4.0,0,1,0,0,0
7.8958,3,4.0,0,1,0,0,0
13.5,2,4.0,0,1,0,0,0
39.6875,3,3.0,0,1,0,0,0
7.8958,3,0.0,0,1,0,0,0
30.0,1,4.0,0,1,0,0,0
7.65,3,0.0,0,1,0,0,0
52.0,1,4.0,0,1,0,0,0
76.7292,1,4.0,0,1,1,0,1
7.75,3,4.0,0,1,0,0,1
27.75,2,1.0,1,0,0,0,1
9.8375,3,4.0,1,0,0,0,0
7.75,3,4.0,0,1,0,0,0
13.0,2,4.0,1,0,0,0,1
26.55,1,2.0,0,1,0,0,0
13.0,2,0.0,0,1,0,0,1
7.8958,3,4.0,0,1,0,0,0
7.75,3,4.0,0,1,0,0,0
16.1,3,0.0,0,1,0,1,0
7.75,3,0.0,1,0,0,0,0
13.0,2,4.0,0,1,0,0,0
73.5,2,3.0,0,1,0,0,0
7.775,3,0.0,0,1,0,0,0
0.0,2,4.0,0,1,0,0,0
7.25,3,4.0,0,1,0,0,0
13.0,2,4.0,0,1,0,0,0
8.3625,3,0.0,0,1,0,0,0
24.0,2,4.0,0,1,1,1,0
7.225,3,0.0,0,1,1,0,0
7.8958,3,0.0,0,1,1,0,0
7.4958,3,0.0,0,1,0,0,0
52.5542,1,2.0,1,0,0,1,1
26.0,2,0.0,0,1,0,1,0
8.05,3,4.0,0,1,0,0,0
8.05,3,4.0,0,1,0,0,0
10.5,2,2.0,1,0,0,0,1
23.25,3,4.0,1,0,0,1,1
7.75,3,4.0,0,1,0,1,0
0.0,2,4.0,0,1,0,0,0
8.05,3,4.0,0,1,0,0,0
8.05,3,0.0,0,1,0,0,0
26.0,2,0.0,0,1,0,0,0
227.525,1,3.0,1,0,1,1,1
46.9,3,3.0,1,0,0,0,0
7.65,3,4.0,1,0,0,0,1
31.0,1,4.0,0,1,0,0,0
14.1083,3,0.0,0,1,0,1,0
120.0,1,3.0,1,0,0,0,1
77.2875,1,4.0,0,1,0,1,0
